region,annealing_selected,annealing_metric,tnc_metric,annealing_max_ape
"('Asia', 'Afghanistan', 'None')",False,4793.8033421152495,4169.814057012385,0.9528301886792453
"('Europe', 'Albania', 'None')",True,4586.940197014213,4687.120762755882,0.9668874172185431
"('Africa', 'Algeria', 'None')",True,1132.8865307224926,1180.338869436525,0.9887218045112782
"('Europe', 'Andorra', 'None')",False,5339.556180060517,4959.814368079774,1.1627906976744187
"('Africa', 'Angola', 'None')",True,1826.5351509353459,2142.1920862627157,0.9230769230769231
"('North America', 'Antigua and Barbuda', 'None')",False,1705.7985528347501,1424.9867410827794,0.6
"('South America', 'Argentina', 'None')",True,1366.4676023175339,1600.7100169688454,0.36034150342462107
"('Asia', 'Armenia', 'None')",True,1787.2700806412563,2327.4735833628647,0.2795100222717149
"('Oceania', 'Australia', 'Australian Capital Territory')",False,1.9999999999999998,1.9999999999999998,0.16666666666666666
"('Oceania', 'Australia', 'New South Wales')",False,4298.975494048433,2728.856172031219,5.423076923076923
"('Oceania', 'Australia', 'Queensland')",False,3693.4838895404114,3653.499272949273,1.1904761904761905
"('Oceania', 'Australia', 'South Australia')",False,2895.959307359308,2379.089406671759,0.5833333333333334
"('Oceania', 'Australia', 'Tasmania')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'Victoria')",True,3777.322545885337,4093.6614574672444,2.857142857142857
"('Oceania', 'Australia', 'Western Australia')",False,1084.5222222222224,943.3746031746032,0.5172413793103449
"('Europe', 'Austria', 'None')",False,3777.6222349110503,3788.3596507968987,0.9788296860133207
"('Asia', 'Azerbaijan', 'None')",True,1828.1058160880962,1944.9345207046827,0.5364635364635365
"('Asia', 'Bahrain', 'None')",False,3765.7236297164477,2508.2648094055257,0.9987602281180263
"('Asia', 'Bangladesh', 'None')",False,1179.979680166247,1189.4749706625598,0.5824609109449355
"('North America', 'Barbados', 'None')",False,3102.6434326147937,3060.890356130481,0.9166666666666666
"('Europe', 'Belarus', 'None')",True,1295.4813747862272,1345.715043724228,0.4848681016345687
"('Europe', 'Belgium', 'None')",True,3326.2423091114692,4279.159903057707,0.6909388901896512
"('North America', 'Belize', 'None')",False,4831.705778083568,4895.918942719254,0.9029126213592233
"('Africa', 'Benin', 'None')",False,8553.837903029405,4748.036289049227,1.9651162790697674
"('Asia', 'Bhutan', 'None')",False,3167.8657059235284,3206.8214416924384,1.0943396226415094
"('South America', 'Bolivia', 'None')",True,3514.3623536663986,3865.121931704486,0.4560271646859083
"('Europe', 'Bosnia and Herzegovina', 'None')",True,5773.737237122159,5922.6473557313,1.56
"('Africa', 'Botswana', 'None')",False,9859.559673994867,9745.781476991608,1.329370098659246
"('South America', 'Brazil', 'None')",True,1901.1465172443384,1940.652182950243,0.27860310358013207
"('Europe', 'Bulgaria', 'None')",False,3854.203894760221,2917.400235125474,0.8190104166666666
"('Africa', 'Burkina Faso', 'None')",False,3379.4408924598897,3425.4925518763453,0.75
"('Africa', 'Burundi', 'None')",True,4297.611885912246,4914.7958679881685,0.5736842105263158
"('Africa', 'Cabo Verde', 'None')",False,2279.6301776493037,2229.652769927991,0.816
"('Asia', 'Cambodia', 'None')",False,1677.7893178827978,1583.8986147192409,1.1653905053598774
"('Africa', 'Cameroon', 'None')",False,10390.425896177061,10359.842488791035,770.3
"('North America', 'Canada', 'Alberta')",False,4721.565055676411,3520.4122597984233,0.9929676511954993
"('North America', 'Canada', 'British Columbia')",False,6075.232459457935,5756.221228071827,0.9480421686746988
"('North America', 'Canada', 'Manitoba')",False,2885.2479552965897,2254.461261306209,0.9333333333333333
"('North America', 'Canada', 'New Brunswick')",False,2517.0915264743285,2406.947187335052,0.696969696969697
"('North America', 'Canada', 'Newfoundland and Labrador')",False,1851.8300343927394,1847.2175939600475,0.7560975609756098
"('North America', 'Canada', 'Nova Scotia')",False,2491.274878351791,2486.4540382198493,1.8656716417910448
"('North America', 'Canada', 'Ontario')",False,4490.662295526922,1679.3732463080814,0.9740990990990991
"('North America', 'Canada', 'Quebec')",True,2498.4642750878647,2696.380096301197,0.8539094650205762
"('North America', 'Canada', 'Saskatchewan')",True,2316.5846856159574,2439.4007235955405,0.7670940170940171
"('Africa', 'Central African Republic', 'None')",False,5054.545924963176,4045.8042494414235,8.095238095238095
"('Africa', 'Chad', 'None')",False,1504.238647335497,1502.774464792385,0.5625
"('South America', 'Chile', 'None')",True,1310.2225675734799,1577.120764929117,0.30882468091770415
"('South America', 'Colombia', 'None')",False,909.6328976841797,625.0326354733531,0.5556044560583139
"('Africa', 'Comoros', 'None')",False,3425.2871182706244,2841.046228731946,1.0
"('Africa', 'Congo (Brazzaville)', 'None')",True,8828.654353858423,9150.815171091504,5.2
"('Africa', 'Congo (Kinshasa)', 'None')",False,3605.6619119613633,3497.6723387288257,2.2429378531073447
"('North America', 'Costa Rica', 'None')",False,7003.3480379508,5602.681164917885,0.9979457682826622
"('Africa', ""Cote d'Ivoire"", 'None')",True,4063.2946806712034,4604.181919276649,1.3856209150326797
"('Europe', 'Croatia', 'None')",True,3289.9429951378997,3419.4165820762064,0.6975446428571429
"('North America', 'Cuba', 'None')",False,860.4773806772794,833.6298075477149,0.4809151394887358
"('Europe', 'Cyprus', 'None')",False,3274.465069904815,1667.657946009827,3.140939597315436
"('Europe', 'Czechia', 'None')",True,3600.43178756855,4420.524092211758,0.9991452991452991
"('Europe', 'Denmark', 'None')",True,2557.2541362118045,3317.3599476898794,2.497331910352188
"('Africa', 'Djibouti', 'None')",False,3076.7371681466084,2612.350537873884,0.9405940594059405
"('North America', 'Dominican Republic', 'None')",True,1362.3055600587227,1428.4822994017984,0.7447765141496958
"('South America', 'Ecuador', 'None')",True,8039.178406650961,8454.979530380095,2.1090128755364805
"('Africa', 'Egypt', 'None')",False,1055.3437626089865,607.160163095926,0.5611111111111111
"('North America', 'El Salvador', 'None')",False,7932.451409054722,7960.331243994877,0.8724899598393574
"('Africa', 'Equatorial Guinea', 'None')",False,6413.747114593147,4581.4079497737885,34.5
"('Europe', 'Estonia', 'None')",False,4420.615704534357,4079.5773973489536,0.9903345724907063
"('Africa', 'Ethiopia', 'None')",False,4674.174642304166,2847.180429617138,0.9818351187703773
"('Europe', 'Finland', 'None')",False,2116.24461170164,2099.953148530973,0.7608391608391608
"('Europe', 'France', 'None')",True,3522.5858890942486,5774.700449441183,0.6878283514492753
"('Africa', 'Gabon', 'None')",False,7971.787458702251,7901.481599317893,0.6981132075471698
"('Africa', 'Gambia', 'None')",False,5654.54413538323,5373.539180375408,3.0
"('Asia', 'Georgia', 'None')",True,1707.8253468526593,2641.613032468767,0.37594799566630555
"('Europe', 'Germany', 'None')",True,2510.7479810399127,4334.921160836535,0.8421234057221648
"('Africa', 'Ghana', 'None')",False,6976.659499921285,6693.2862896920815,0.7886075949367088
"('Europe', 'Greece', 'None')",True,1593.4255351657946,1829.553026666781,0.5359550561797752
"('North America', 'Guatemala', 'None')",False,2940.928270112443,2997.14110400595,1.333990980834273
"('Africa', 'Guinea', 'None')",True,4448.322256315692,4882.882164713634,0.9029126213592233
"('Africa', 'Guinea-Bissau', 'None')",False,3808.4172267725676,3863.787221518166,0.9568965517241379
"('South America', 'Guyana', 'None')",True,2671.8799804948003,2867.8702631174156,0.6
"('North America', 'Haiti', 'None')",True,6574.625845028862,6780.507085164099,2.519047619047619
"('North America', 'Honduras', 'None')",False,4127.765513765267,3083.8054067644534,0.994488333639537
"('Europe', 'Hungary', 'None')",False,5427.9491466619675,5387.263475625597,0.9817880794701986
"('Europe', 'Iceland', 'None')",False,4635.823372048896,4358.238769474252,5.689655172413793
"('Asia', 'India', 'None')",True,2057.859323495233,2812.8313733524915,0.7511473455767156
