Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,Internal Parameter 3
Oceania,Australia,Queensland,2020-10-01,0.9269146353839455,1.4549241224331086,9.34789734193609,1.0435787997275416,0.02,0.01,5.0,0.0032741466235144457,0.005584131329258941,0.2528289861182287,87.20334552461432,6.330046970435624,0.2007689283619355
Oceania,Australia,Tasmania,2020-10-01,0.5356583285625961,1.5,-199.99964963282278,15.0,0.02,0.01,5.0,3.8176035869736737,0.0018486739992911896,5.0,56.218189268748674,3.286797357768639,0.24235555789059599
Oceania,Australia,Victoria,2020-10-01,0.2501188669830427,1.5,-199.9999222400668,14.999954724245534,0.08375826126037393,0.01,5.0,0.06957208692697425,0.001,5.0,80.7465707097864,3.6341898786044906,0.2
North America,Canada,Alberta,2020-10-01,1.7196948501338856,0.1574850903902389,-79.77605600494485,2.460391806174212,0.020002289468425062,0.019653229853230737,-0.02911906461731412,3.5546327547894094,0.3804233398346375,3.3114577985190934,25.344119404889135,49.905082965088134,0.27968676760522415
North America,Canada,Manitoba,2020-10-01,1.3096138627823324,1.5,-7.268231011702363,1.0,0.08066846972276731,0.02560688344590371,-0.2,0.06389187175497602,0.17738246276439212,0.4101033806929207,-129.53734961060934,63.520698260805226,0.533792446086882
North America,Canada,Ontario,2020-10-01,1.0026288118394588,0.16139029214918063,8.901261124843625,5.897677263286932,0.0206514750244641,0.02397599077559522,-0.043315805975385625,1.9272938364669552,0.29460600783669627,2.726675607591779,73.70717794999607,71.57001525831804,0.4827879851409169
North America,Canada,Quebec,2020-10-01,0.5407280483006848,1.4999983818078189,-18.074012618967117,3.08417629657714,0.0361547505752624,0.031718000192537815,0.074089094907916,3.728534039512007,0.2075057460853019,0.2723627225309906,85.40751714383525,55.80429355382929,0.29834941723160463
North America,Canada,Saskatchewan,2020-10-01,3.0296674573139537,1.1473363462784354,10.504390840510649,5.531785024127658,0.05569213690291496,0.01105619750466492,-0.2,0.008814346054512852,0.0032779467874906013,1.321194135976559,-58.75425626719777,69.32374811861587,0.2
North America,US,Alabama,2020-10-01,5.93831942550473,0.9558864022207322,42.13368673249071,1.0,0.03270699610002535,0.25,3.662344529793898,0.001,0.001,2.632282706030979,86.45809750016635,0.40749513794776815,0.2950313829719213
North America,US,Alaska,2020-10-01,1.5385354001656428,0.17633796867676255,-105.01453986015817,1.0212358965615296,0.034378874387750176,0.01,0.3932147411567129,2.4695346609551536,0.4526667276228847,3.14497062804091,25.34343012281232,44.24195956011764,0.2889711565821883
North America,US,Arizona,2020-10-01,1.0925484307428945,0.6792154246292146,-23.829256511936176,5.127091999962232,0.02970054659845738,0.018834865425490892,-0.04676976594655726,2.294359258555175,2.112482227351602,0.871000034420969,67.81228640034922,100.0,0.2410595469700864
North America,US,Arkansas,2020-10-01,0.7320276086941664,0.6634036428563655,-140.50722456968418,3.592181131877417,0.21731327611598777,0.015456798360913437,-0.029232546673522056,0.5211778806750257,0.5246841380993165,0.8550042933907075,68.67507136922578,73.96004169166976,0.8612220226239078
North America,US,California,2020-10-01,1.816115624339535,0.2156580679288367,3.9300996431098683,7.548292025103233,0.02,0.05064099221199768,0.5390582035497801,0.07917841279802845,0.03754183329385833,3.507550319294997,10.450828714795422,78.6137306816526,0.4049698586452759
North America,US,Colorado,2020-10-01,0.8004980952745742,0.8412999245610678,-12.086752857508635,10.057477831320965,0.0562546978819828,0.010479213510753052,-0.2,0.08830610895367226,0.5057517503820432,1.1068813136963427,-60.04392121322156,90.66793398194017,0.5053254481054549
North America,US,Connecticut,2020-10-01,0.6580197629197939,0.7814459835154385,2.9892108458191107,1.0757841979159415,0.04021046747854486,0.014468761820679113,-0.18293524883162937,1.7199650298753415,0.0012005812031347625,0.4202970787301237,92.09518546240278,99.99969528508637,0.2803423243119059
North America,US,Delaware,2020-10-01,1.091244222732704,0.34505274047228096,79.60969847784804,1.3494357474353125,0.022433565630756314,0.1312405920058754,2.7499595338627496,1.084618217363247,0.06455358308603588,4.817578530169172,89.46310723865349,1.171814887364809,0.24495198325740009
North America,US,Florida,2020-10-01,1.6788357172904917,1.4804527739257027,8.130175592568918,1.0,0.02,0.1570468328845194,2.6497737410773965,0.01893029463985439,0.008384894489255446,0.3070473845152411,99.77689144652747,25.4180844144966,0.7354320878329742
North America,US,Georgia,2020-10-01,0.5097353088353249,0.24620358734427195,99.39531449042414,9.507675328440463,0.027751215948255324,0.07179375727661197,1.7679657054629663,1.1553860614367975,0.36785890089542767,0.664909391652988,100.9997738154347,31.26863601741592,0.6636794172074922
North America,US,Hawaii,2020-10-01,2.1637508394156173,0.1248978625546946,-45.20607222581459,7.173948652837783,0.02,0.035426214555115194,1.191171145453471,0.26273556301629236,0.07516574937950375,3.2674003829095337,62.37283796283658,95.07896046540392,1.9952128997933387
North America,US,Idaho,2020-10-01,1.893023056156569,0.8793454686869113,11.91585027820045,1.376036878895479,0.02,0.09840269051210578,1.9828712052534405,0.002459430747515125,0.4384535484684209,0.39274290948602714,61.25494547557855,22.300651204147616,0.20003434136421783
North America,US,Illinois,2020-10-01,0.4880341332984297,1.4991234401584537,9.58539594422898,9.48751847460387,0.045057982604543544,0.013581457758334203,-0.2,0.012600129761245474,0.002727490871373289,0.3002723117268516,21.108286093393883,100.0,1.8990230169451048
North America,US,Indiana,2020-10-01,0.6316424301046125,0.19473309405352457,99.9999507631341,15.0,0.02,0.03717842898593631,0.3484975827742686,1.0083315898962342,0.06413550534384091,2.046291065634523,-152.58841721837467,99.81957348832981,0.9026735471033981
North America,US,Iowa,2020-10-01,1.0735569104156406,1.397255214681163,-176.19335172185637,1.5836331273364588,0.03396238102480292,0.014182983154738265,-0.2,0.0025000558493594957,0.23379618517275763,1.0527175609738397,-100.860784849884,95.38775141038236,0.8679187260655297
North America,US,Kansas,2020-10-01,1.9847508413666315,1.3414556604061458,-18.360420111352994,5.879368209824014,0.02,0.024148878651501303,0.010943022106053704,2.3749351411173647,0.00867947021793704,0.34762038475534063,46.441638996075746,100.0,0.31149536970657704
North America,US,Kentucky,2020-10-01,3.025327484510379,1.4974634847117279,-80.34214476349338,1.0000021976034659,0.02,0.02928836533063659,0.5546517589540205,0.0011210991132313789,0.04018489467717049,0.7683128088722474,-125.94575767043057,100.0,1.7263216699302117
North America,US,Louisiana,2020-10-01,2.52482207537401,1.5,-54.067250994375854,1.0,0.02138317308795628,0.25,2.528429282828674,0.08261512225195745,0.001,0.9650081956294417,-198.77454986383066,100.0,0.4210231968512101
North America,US,Maine,2020-10-01,1.3701161702624949,0.4050129433150282,16.33048790081361,2.5197041096781976,0.041016111484773285,0.03494109744627317,0.3014862693604479,0.6225010052732679,0.01754454163276598,1.0551750235873003,52.78518737274598,85.8836866067951,0.2
North America,US,Maryland,2020-10-01,0.3579898644381676,0.13880293374906022,-13.598153316238305,4.998505514685188,0.10620009323765202,0.011736304825105901,-0.2,2.7929478802271333,0.1393910552114276,3.8818784165511406,19.31726012276903,82.14053022438084,0.2182100066215966
North America,US,Massachusetts,2020-10-01,0.7298816812657155,1.4823203165281134,-18.72116204053642,6.823021124275093,0.02,0.04780227790578152,0.3451673433304528,2.1297695839953046,0.08643259653605076,0.3359542156755013,49.02732549946448,85.24069621679342,0.40953139704140945
North America,US,Michigan,2020-10-01,0.961231940477858,0.16885445835502816,-25.27116490317553,1.000602658539144,0.046335935112169574,0.015651214313174195,-0.1999032498043197,1.941522516908697,0.8440528839028196,3.3929570047396136,7.461764582586931,54.84547410485194,0.2774384804251329
North America,US,Minnesota,2020-10-01,1.1665723965164887,0.18731473544212707,48.730213037224885,1.0000560014715423,0.030088663092069052,0.027708482076470087,0.4223456960956655,1.2180041840074016,0.026458139334474558,4.917974067017186,-151.04091049763178,97.3320746526136,0.2527629824850519
North America,US,Mississippi,2020-10-01,0.5284995790284379,0.21337289851487806,-173.58544648149098,9.140851436011403,0.08556991453497381,0.018252583709092548,0.010396346822835766,0.08130745311543025,1.0788539176905303,2.736245064656656,55.20525106631668,69.29737230885667,0.7467598659739287
