Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Asia,Afghanistan,None,2020-03-27,3.303872307,2.805814897,-2.735096411,1.491737122,0.047774418,0.038056681,0.002843365,0.114847007,1.63E-06,0,87.648572,1
Europe,Albania,None,2020-03-23,1.927624108,0.38671203,-926.5231263,0,0.537708119,0.049527102,0.191572931,2.23E-06,1.197660776,1.989699603,84.08379667,2.20259244
Africa,Algeria,None,2020-03-21,1.449304705,0.411278761,-10.06791348,0.053034338,0.024706866,1,7.155818609,3.067722291,11.88872157,0.684595662,96.89789626,7.720269375
Europe,Andorra,None,2020-03-22,1.969838139,0.297394053,0.439026843,0.224268815,0.037352424,0.137322514,3.464333844,0.593385654,1.084200654,1.768808046,180.5880677,63.15414346
Africa,Angola,None,2020-06-10,1.784943701,0.431329285,-9.202702908,0,0.020001593,0.2407015,0.953907694,0.158352554,0.850017082,0.009423433,10.64582966,1.128459837
North America,Antigua and Barbuda,None,2020-09-27,0.45676562,0.506582392,-26.29628587,0.207872164,0.309360935,2.53E-06,0.023331747,5.83E-05,0.061249117,0.251633665,5.586259297,1.026347753
South America,Argentina,None,2020-03-20,2.075946704,0.479586241,-0.434069782,0.024576603,1,0.026000315,0,0.23211315,5.868638071,0.71137717,96.9110074,2.677576106
Asia,Armenia,None,2020-03-19,1.248761621,3.886307537,-16.71132171,1.280648901,0.090786421,0.033046337,0.247477214,0.008646235,0.006933422,0.133850292,204.0595375,26.6753599
Oceania,Australia,Australian Capital Territory,2020-04-09,0.42460132,1.947694765,-25.48331111,3.314216355,0.587467164,0.009926856,1.31081872,0.024094415,5.57E-08,2.933062506,74.62753047,2.689316225
Oceania,Australia,New South Wales,2020-03-14,2.610294756,47.12501913,-0.060505409,289.7326715,0.45162394,0.015945558,1.656817811,8.313142486,0,0.010179499,111.3038945,37.62642662
Oceania,Australia,Queensland,2020-03-19,1.836542611,0.126372921,-75.72772978,1.261645524,0.389536512,0.005307155,0,5.960104443,3.10E-06,4.555499944,123.03769,38.02315016
Oceania,Australia,South Australia,2020-03-22,3.073922083,0.768154068,-299.4661704,65.96699382,0.148042263,0.007791675,3.126966156,1.794010741,0.708843247,0.345505281,94.48598442,1.177155596
Oceania,Australia,Tasmania,2020-04-09,0.035106221,0.196385605,-1122.166748,188.080613,0.156703066,0.05116917,0.634166492,1.007082975,0.252031446,4.552610279,91.91402238,14.71921637
Oceania,Australia,Victoria,2020-03-18,1.50689145,0.37912351,-301.8869336,0.065674427,0.037504359,0.043219537,0,2.717969621,2.58288415,2.312838023,99.66898804,17.24714899
